,country,year,life_expectancy
177,Philippines,Unnamed: 0,177.0
178,Pitcairn,Unnamed: 0,178.0
179,Poland,Unnamed: 0,179.0
180,Portugal,Unnamed: 0,180.0
181,Puerto Rico,Unnamed: 0,181.0
182,Qatar,Unnamed: 0,182.0
183,Reunion,Unnamed: 0,183.0
184,Romania,Unnamed: 0,184.0
185,Russia,Unnamed: 0,185.0
186,Rwanda,Unnamed: 0,186.0
187,St. Barthélemy,Unnamed: 0,187.0
188,St. Helena,Unnamed: 0,188.0
189,St. Kitts and Nevis,Unnamed: 0,189.0
190,St. Lucia,Unnamed: 0,190.0
191,St. Martin,Unnamed: 0,191.0
192,St. Vincent and the Grenadines,Unnamed: 0,192.0
193,St.-Pierre-et-Miquelon,Unnamed: 0,193.0
194,Samoa,Unnamed: 0,194.0
195,San Marino,Unnamed: 0,195.0
196,Sao Tome and Principe,Unnamed: 0,196.0
197,Saudi Arabia,Unnamed: 0,197.0
198,Senegal,Unnamed: 0,198.0
199,Serbia,Unnamed: 0,199.0
200,Serbia and Montenegro,Unnamed: 0,200.0
201,Serbia excluding Kosovo,Unnamed: 0,201.0
202,Seychelles,Unnamed: 0,202.0
203,Sierra Leone,Unnamed: 0,203.0
204,Singapore,Unnamed: 0,204.0
205,Slovak Republic,Unnamed: 0,205.0
206,Slovenia,Unnamed: 0,206.0
207,Solomon Islands,Unnamed: 0,207.0
208,Somalia,Unnamed: 0,208.0
209,Somaliland,Unnamed: 0,209.0
210,South Africa,Unnamed: 0,210.0
211,South Ossetia,Unnamed: 0,211.0
212,Spain,Unnamed: 0,212.0
213,Sri Lanka,Unnamed: 0,213.0
214,Sudan,Unnamed: 0,214.0
215,Suriname,Unnamed: 0,215.0
216,Svalbard,Unnamed: 0,216.0
217,Swaziland,Unnamed: 0,217.0
218,Sweden,Unnamed: 0,218.0
219,Switzerland,Unnamed: 0,219.0
220,Syria,Unnamed: 0,220.0
221,Taiwan,Unnamed: 0,221.0
222,Tajikistan,Unnamed: 0,222.0
223,Tanzania,Unnamed: 0,223.0
224,Thailand,Unnamed: 0,224.0
225,Timor-Leste,Unnamed: 0,225.0
226,Togo,Unnamed: 0,226.0
227,Tokelau,Unnamed: 0,227.0
228,Tonga,Unnamed: 0,228.0
229,Transnistria,Unnamed: 0,229.0
230,Trinidad and Tobago,Unnamed: 0,230.0
231,Tunisia,Unnamed: 0,231.0
232,Turkey,Unnamed: 0,232.0
233,Turkmenistan,Unnamed: 0,233.0
234,Turks and Caicos Islands,Unnamed: 0,234.0
235,Tuvalu,Unnamed: 0,235.0
236,Uganda,Unnamed: 0,236.0
237,Ukraine,Unnamed: 0,237.0
238,United Arab Emirates,Unnamed: 0,238.0
239,United Kingdom,Unnamed: 0,239.0
240,United States,Unnamed: 0,240.0
241,Uruguay,Unnamed: 0,241.0
242,USSR,Unnamed: 0,242.0
243,Uzbekistan,Unnamed: 0,243.0
244,Wallis et Futuna,Unnamed: 0,244.0
245,Vanuatu,Unnamed: 0,245.0
246,Venezuela,Unnamed: 0,246.0
247,West Bank and Gaza,Unnamed: 0,247.0
248,West Germany,Unnamed: 0,248.0
249,Western Sahara,Unnamed: 0,249.0
250,Vietnam,Unnamed: 0,250.0
251,Virgin Islands (U.S.),Unnamed: 0,251.0
252,North Yemen (former),Unnamed: 0,252.0
253,South Yemen (former),Unnamed: 0,253.0
254,Yemen,Unnamed: 0,254.0
255,Yugoslavia,Unnamed: 0,255.0
256,Zambia,Unnamed: 0,256.0
257,Zimbabwe,Unnamed: 0,257.0
258,Åland,Unnamed: 0,258.0
259,South Sudan,Unnamed: 0,259.0
260,Abkhazia,Unnamed: 0,0.0
261,Afghanistan,Unnamed: 0,1.0
262,Akrotiri and Dhekelia,Unnamed: 0,2.0
263,Albania,Unnamed: 0,3.0
264,Algeria,Unnamed: 0,4.0
265,American Samoa,Unnamed: 0,5.0
266,Andorra,Unnamed: 0,6.0
267,Angola,Unnamed: 0,7.0
268,Anguilla,Unnamed: 0,8.0
269,Antigua and Barbuda,Unnamed: 0,9.0
270,Argentina,Unnamed: 0,10.0
271,Armenia,Unnamed: 0,11.0
272,Aruba,Unnamed: 0,12.0
273,Australia,Unnamed: 0,13.0
274,Austria,Unnamed: 0,14.0
275,Azerbaijan,Unnamed: 0,15.0
276,Bahamas,Unnamed: 0,16.0
277,Bahrain,Unnamed: 0,17.0
278,Bangladesh,Unnamed: 0,18.0
279,Barbados,Unnamed: 0,19.0
280,Belarus,Unnamed: 0,20.0
281,Belgium,Unnamed: 0,21.0
282,Belize,Unnamed: 0,22.0
283,Benin,Unnamed: 0,23.0
284,Bermuda,Unnamed: 0,24.0
285,Bhutan,Unnamed: 0,25.0
286,Bolivia,Unnamed: 0,26.0
287,Bosnia and Herzegovina,Unnamed: 0,27.0
288,Botswana,Unnamed: 0,28.0
289,Brazil,Unnamed: 0,29.0
290,British Virgin Islands,Unnamed: 0,30.0
291,Brunei,Unnamed: 0,31.0
292,Bulgaria,Unnamed: 0,32.0
293,Burkina Faso,Unnamed: 0,33.0
294,Burundi,Unnamed: 0,34.0
295,Cambodia,Unnamed: 0,35.0
296,Cameroon,Unnamed: 0,36.0
297,Canada,Unnamed: 0,37.0
298,Cape Verde,Unnamed: 0,38.0
299,Cayman Islands,Unnamed: 0,39.0
300,Central African Republic,Unnamed: 0,40.0
301,Chad,Unnamed: 0,41.0
302,Channel Islands,Unnamed: 0,42.0
303,Chile,Unnamed: 0,43.0
304,China,Unnamed: 0,44.0
305,Christmas Island,Unnamed: 0,45.0
306,Cocos Island,Unnamed: 0,46.0
307,Colombia,Unnamed: 0,47.0
308,Comoros,Unnamed: 0,48.0
309,"Congo, Dem. Rep.",Unnamed: 0,49.0
310,"Congo, Rep.",Unnamed: 0,50.0
311,Cook Is,Unnamed: 0,51.0
312,Costa Rica,Unnamed: 0,52.0
313,Cote d'Ivoire,Unnamed: 0,53.0
314,Croatia,Unnamed: 0,54.0
315,Cuba,Unnamed: 0,55.0
316,Cyprus,Unnamed: 0,56.0
317,Czech Republic,Unnamed: 0,57.0
318,Czechoslovakia,Unnamed: 0,58.0
319,Denmark,Unnamed: 0,59.0
320,Djibouti,Unnamed: 0,60.0
321,Dominica,Unnamed: 0,61.0
322,Dominican Republic,Unnamed: 0,62.0
323,East Germany,Unnamed: 0,63.0
324,Ecuador,Unnamed: 0,64.0
325,Egypt,Unnamed: 0,65.0
326,El Salvador,Unnamed: 0,66.0
327,Equatorial Guinea,Unnamed: 0,67.0
328,Eritrea,Unnamed: 0,68.0
329,Eritrea and Ethiopia,Unnamed: 0,69.0
330,Estonia,Unnamed: 0,70.0
331,Ethiopia,Unnamed: 0,71.0
332,Faeroe Islands,Unnamed: 0,72.0
333,Falkland Is (Malvinas),Unnamed: 0,73.0
334,Fiji,Unnamed: 0,74.0
335,Finland,Unnamed: 0,75.0
336,France,Unnamed: 0,76.0
337,French Guiana,Unnamed: 0,77.0
338,French Polynesia,Unnamed: 0,78.0
339,Gabon,Unnamed: 0,79.0
340,Gambia,Unnamed: 0,80.0
341,Georgia,Unnamed: 0,81.0
342,Germany,Unnamed: 0,82.0
343,Ghana,Unnamed: 0,83.0
344,Gibraltar,Unnamed: 0,84.0
345,Greece,Unnamed: 0,85.0
346,Greenland,Unnamed: 0,86.0
347,Grenada,Unnamed: 0,87.0
348,Guadeloupe,Unnamed: 0,88.0
349,Guam,Unnamed: 0,89.0
350,Guatemala,Unnamed: 0,90.0
351,Guernsey,Unnamed: 0,91.0
352,Guinea,Unnamed: 0,92.0
353,Guinea-Bissau,Unnamed: 0,93.0
354,Guyana,Unnamed: 0,94.0
355,Haiti,Unnamed: 0,95.0
356,Holy See,Unnamed: 0,96.0
357,Honduras,Unnamed: 0,97.0
358,"Hong Kong, China",Unnamed: 0,98.0
359,Hungary,Unnamed: 0,99.0
360,Iceland,Unnamed: 0,100.0
361,India,Unnamed: 0,101.0
362,Indonesia,Unnamed: 0,102.0
363,Iran,Unnamed: 0,103.0
364,Iraq,Unnamed: 0,104.0
365,Ireland,Unnamed: 0,105.0
366,Isle of Man,Unnamed: 0,106.0
367,Israel,Unnamed: 0,107.0
368,Italy,Unnamed: 0,108.0
369,Jamaica,Unnamed: 0,109.0
370,Japan,Unnamed: 0,110.0
371,Jersey,Unnamed: 0,111.0
372,Jordan,Unnamed: 0,112.0
373,Kazakhstan,Unnamed: 0,113.0
374,Kenya,Unnamed: 0,114.0
375,Kiribati,Unnamed: 0,115.0
376,North Korea,Unnamed: 0,116.0
377,South Korea,Unnamed: 0,117.0
378,"United Korea (former)
",Unnamed: 0,118.0
379,Kosovo,Unnamed: 0,119.0
380,Kuwait,Unnamed: 0,120.0
381,Kyrgyz Republic,Unnamed: 0,121.0
382,Lao,Unnamed: 0,122.0
383,Latvia,Unnamed: 0,123.0
384,Lebanon,Unnamed: 0,124.0
385,Lesotho,Unnamed: 0,125.0
386,Liberia,Unnamed: 0,126.0
387,Libya,Unnamed: 0,127.0
388,Liechtenstein,Unnamed: 0,128.0
389,Lithuania,Unnamed: 0,129.0
390,Luxembourg,Unnamed: 0,130.0
391,"Macao, China",Unnamed: 0,131.0
392,"Macedonia, FYR",Unnamed: 0,132.0
393,Madagascar,Unnamed: 0,133.0
394,Malawi,Unnamed: 0,134.0
395,Malaysia,Unnamed: 0,135.0
396,Maldives,Unnamed: 0,136.0
397,Mali,Unnamed: 0,137.0
398,Malta,Unnamed: 0,138.0
399,Marshall Islands,Unnamed: 0,139.0
400,Martinique,Unnamed: 0,140.0
401,Mauritania,Unnamed: 0,141.0
402,Mauritius,Unnamed: 0,142.0
403,Mayotte,Unnamed: 0,143.0
404,Mexico,Unnamed: 0,144.0
405,"Micronesia, Fed. Sts.",Unnamed: 0,145.0
406,Moldova,Unnamed: 0,146.0
407,Monaco,Unnamed: 0,147.0
408,Mongolia,Unnamed: 0,148.0
409,Montenegro,Unnamed: 0,149.0
410,Montserrat,Unnamed: 0,150.0
411,Morocco,Unnamed: 0,151.0
412,Mozambique,Unnamed: 0,152.0
413,Myanmar,Unnamed: 0,153.0
414,Namibia,Unnamed: 0,154.0
415,Nauru,Unnamed: 0,155.0
416,Nepal,Unnamed: 0,156.0
417,Netherlands,Unnamed: 0,157.0
418,Netherlands Antilles,Unnamed: 0,158.0
419,New Caledonia,Unnamed: 0,159.0
420,New Zealand,Unnamed: 0,160.0
421,Ngorno-Karabakh,Unnamed: 0,161.0
422,Nicaragua,Unnamed: 0,162.0
423,Niger,Unnamed: 0,163.0
424,Nigeria,Unnamed: 0,164.0
425,Niue,Unnamed: 0,165.0
426,Norfolk Island,Unnamed: 0,166.0
427,Northern Cyprus,Unnamed: 0,167.0
428,Northern Mariana Islands,Unnamed: 0,168.0
429,Norway,Unnamed: 0,169.0
430,Oman,Unnamed: 0,170.0
431,Pakistan,Unnamed: 0,171.0
432,Palau,Unnamed: 0,172.0
433,Panama,Unnamed: 0,173.0
434,Papua New Guinea,Unnamed: 0,174.0
435,Paraguay,Unnamed: 0,175.0
436,Peru,Unnamed: 0,176.0
437,Philippines,Unnamed: 0,177.0
438,Pitcairn,Unnamed: 0,178.0
439,Poland,Unnamed: 0,179.0
440,Portugal,Unnamed: 0,180.0
441,Puerto Rico,Unnamed: 0,181.0
442,Qatar,Unnamed: 0,182.0
443,Reunion,Unnamed: 0,183.0
444,Romania,Unnamed: 0,184.0
445,Russia,Unnamed: 0,185.0
446,Rwanda,Unnamed: 0,186.0
447,St. Barthélemy,Unnamed: 0,187.0
448,St. Helena,Unnamed: 0,188.0
449,St. Kitts and Nevis,Unnamed: 0,189.0
450,St. Lucia,Unnamed: 0,190.0
451,St. Martin,Unnamed: 0,191.0
452,St. Vincent and the Grenadines,Unnamed: 0,192.0
453,St.-Pierre-et-Miquelon,Unnamed: 0,193.0
454,Samoa,Unnamed: 0,194.0
455,San Marino,Unnamed: 0,195.0
456,Sao Tome and Principe,Unnamed: 0,196.0
457,Saudi Arabia,Unnamed: 0,197.0
458,Senegal,Unnamed: 0,198.0
459,Serbia,Unnamed: 0,199.0
460,Serbia and Montenegro,Unnamed: 0,200.0
461,Serbia excluding Kosovo,Unnamed: 0,201.0
462,Seychelles,Unnamed: 0,202.0
463,Sierra Leone,Unnamed: 0,203.0
464,Singapore,Unnamed: 0,204.0
465,Slovak Republic,Unnamed: 0,205.0
466,Slovenia,Unnamed: 0,206.0
467,Solomon Islands,Unnamed: 0,207.0
468,Somalia,Unnamed: 0,208.0
469,Somaliland,Unnamed: 0,209.0
470,South Africa,Unnamed: 0,210.0
471,South Ossetia,Unnamed: 0,211.0
472,Spain,Unnamed: 0,212.0
473,Sri Lanka,Unnamed: 0,213.0
474,Sudan,Unnamed: 0,214.0
475,Suriname,Unnamed: 0,215.0
476,Svalbard,Unnamed: 0,216.0
477,Swaziland,Unnamed: 0,217.0
478,Sweden,Unnamed: 0,218.0
479,Switzerland,Unnamed: 0,219.0
480,Syria,Unnamed: 0,220.0
481,Taiwan,Unnamed: 0,221.0
482,Tajikistan,Unnamed: 0,222.0
483,Tanzania,Unnamed: 0,223.0
484,Thailand,Unnamed: 0,224.0
485,Timor-Leste,Unnamed: 0,225.0
486,Togo,Unnamed: 0,226.0
487,Tokelau,Unnamed: 0,227.0
488,Tonga,Unnamed: 0,228.0
489,Transnistria,Unnamed: 0,229.0
490,Trinidad and Tobago,Unnamed: 0,230.0
491,Tunisia,Unnamed: 0,231.0
492,Turkey,Unnamed: 0,232.0
493,Turkmenistan,Unnamed: 0,233.0
494,Turks and Caicos Islands,Unnamed: 0,234.0
495,Tuvalu,Unnamed: 0,235.0
496,Uganda,Unnamed: 0,236.0
497,Ukraine,Unnamed: 0,237.0
498,United Arab Emirates,Unnamed: 0,238.0
499,United Kingdom,Unnamed: 0,239.0
500,United States,Unnamed: 0,240.0
501,Uruguay,Unnamed: 0,241.0
502,USSR,Unnamed: 0,242.0
503,Uzbekistan,Unnamed: 0,243.0
504,Wallis et Futuna,Unnamed: 0,244.0
505,Vanuatu,Unnamed: 0,245.0
506,Venezuela,Unnamed: 0,246.0
507,West Bank and Gaza,Unnamed: 0,247.0
508,West Germany,Unnamed: 0,248.0
509,Western Sahara,Unnamed: 0,249.0
510,Vietnam,Unnamed: 0,250.0
511,Virgin Islands (U.S.),Unnamed: 0,251.0
512,North Yemen (former),Unnamed: 0,252.0
513,South Yemen (former),Unnamed: 0,253.0
514,Yemen,Unnamed: 0,254.0
515,Yugoslavia,Unnamed: 0,255.0
516,Zambia,Unnamed: 0,256.0
517,Zimbabwe,Unnamed: 0,257.0
518,Åland,Unnamed: 0,258.0
519,South Sudan,Unnamed: 0,259.0
520,Abkhazia,Unnamed: 0,0.0
521,Afghanistan,Unnamed: 0,1.0
522,Akrotiri and Dhekelia,Unnamed: 0,2.0
523,Albania,Unnamed: 0,3.0
524,Algeria,Unnamed: 0,4.0
525,American Samoa,Unnamed: 0,5.0
526,Andorra,Unnamed: 0,6.0
527,Angola,Unnamed: 0,7.0
528,Anguilla,Unnamed: 0,8.0
529,Antigua and Barbuda,Unnamed: 0,9.0
530,Argentina,Unnamed: 0,10.0
531,Armenia,Unnamed: 0,11.0
532,Aruba,Unnamed: 0,12.0
533,Australia,Unnamed: 0,13.0
534,Austria,Unnamed: 0,14.0
535,Azerbaijan,Unnamed: 0,15.0
536,Bahamas,Unnamed: 0,16.0
537,Bahrain,Unnamed: 0,17.0
538,Bangladesh,Unnamed: 0,18.0
539,Barbados,Unnamed: 0,19.0
540,Belarus,Unnamed: 0,20.0
541,Belgium,Unnamed: 0,21.0
542,Belize,Unnamed: 0,22.0
543,Benin,Unnamed: 0,23.0
544,Bermuda,Unnamed: 0,24.0
545,Bhutan,Unnamed: 0,25.0
546,Bolivia,Unnamed: 0,26.0
547,Bosnia and Herzegovina,Unnamed: 0,27.0
548,Botswana,Unnamed: 0,28.0
549,Brazil,Unnamed: 0,29.0
550,British Virgin Islands,Unnamed: 0,30.0
551,Brunei,Unnamed: 0,31.0
552,Bulgaria,Unnamed: 0,32.0
553,Burkina Faso,Unnamed: 0,33.0
554,Burundi,Unnamed: 0,34.0
555,Cambodia,Unnamed: 0,35.0
556,Cameroon,Unnamed: 0,36.0
557,Canada,Unnamed: 0,37.0
558,Cape Verde,Unnamed: 0,38.0
559,Cayman Islands,Unnamed: 0,39.0
560,Central African Republic,Unnamed: 0,40.0
561,Chad,Unnamed: 0,41.0
562,Channel Islands,Unnamed: 0,42.0
563,Chile,Unnamed: 0,43.0
564,China,Unnamed: 0,44.0
565,Christmas Island,Unnamed: 0,45.0
566,Cocos Island,Unnamed: 0,46.0
567,Colombia,Unnamed: 0,47.0
568,Comoros,Unnamed: 0,48.0
569,"Congo, Dem. Rep.",Unnamed: 0,49.0
570,"Congo, Rep.",Unnamed: 0,50.0
571,Cook Is,Unnamed: 0,51.0
572,Costa Rica,Unnamed: 0,52.0
573,Cote d'Ivoire,Unnamed: 0,53.0
574,Croatia,Unnamed: 0,54.0
575,Cuba,Unnamed: 0,55.0
576,Cyprus,Unnamed: 0,56.0
577,Czech Republic,Unnamed: 0,57.0
578,Czechoslovakia,Unnamed: 0,58.0
579,Denmark,Unnamed: 0,59.0
580,Djibouti,Unnamed: 0,60.0
581,Dominica,Unnamed: 0,61.0
582,Dominican Republic,Unnamed: 0,62.0
583,East Germany,Unnamed: 0,63.0
584,Ecuador,Unnamed: 0,64.0
585,Egypt,Unnamed: 0,65.0
586,El Salvador,Unnamed: 0,66.0
587,Equatorial Guinea,Unnamed: 0,67.0
588,Eritrea,Unnamed: 0,68.0
589,Eritrea and Ethiopia,Unnamed: 0,69.0
590,Estonia,Unnamed: 0,70.0
591,Ethiopia,Unnamed: 0,71.0
592,Faeroe Islands,Unnamed: 0,72.0
593,Falkland Is (Malvinas),Unnamed: 0,73.0
594,Fiji,Unnamed: 0,74.0
595,Finland,Unnamed: 0,75.0
596,France,Unnamed: 0,76.0
597,French Guiana,Unnamed: 0,77.0
598,French Polynesia,Unnamed: 0,78.0
599,Gabon,Unnamed: 0,79.0
600,Gambia,Unnamed: 0,80.0
601,Georgia,Unnamed: 0,81.0
602,Germany,Unnamed: 0,82.0
603,Ghana,Unnamed: 0,83.0
604,Gibraltar,Unnamed: 0,84.0
605,Greece,Unnamed: 0,85.0
606,Greenland,Unnamed: 0,86.0
607,Grenada,Unnamed: 0,87.0
608,Guadeloupe,Unnamed: 0,88.0
609,Guam,Unnamed: 0,89.0
610,Guatemala,Unnamed: 0,90.0
611,Guernsey,Unnamed: 0,91.0
612,Guinea,Unnamed: 0,92.0
613,Guinea-Bissau,Unnamed: 0,93.0
614,Guyana,Unnamed: 0,94.0
615,Haiti,Unnamed: 0,95.0
616,Holy See,Unnamed: 0,96.0
617,Honduras,Unnamed: 0,97.0
618,"Hong Kong, China",Unnamed: 0,98.0
619,Hungary,Unnamed: 0,99.0
620,Iceland,Unnamed: 0,100.0
621,India,Unnamed: 0,101.0
622,Indonesia,Unnamed: 0,102.0
623,Iran,Unnamed: 0,103.0
624,Iraq,Unnamed: 0,104.0
625,Ireland,Unnamed: 0,105.0
626,Isle of Man,Unnamed: 0,106.0
627,Israel,Unnamed: 0,107.0
628,Italy,Unnamed: 0,108.0
629,Jamaica,Unnamed: 0,109.0
630,Japan,Unnamed: 0,110.0
631,Jersey,Unnamed: 0,111.0
632,Jordan,Unnamed: 0,112.0
633,Kazakhstan,Unnamed: 0,113.0
634,Kenya,Unnamed: 0,114.0
635,Kiribati,Unnamed: 0,115.0
636,North Korea,Unnamed: 0,116.0
637,South Korea,Unnamed: 0,117.0
638,"United Korea (former)
",Unnamed: 0,118.0
639,Kosovo,Unnamed: 0,119.0
640,Kuwait,Unnamed: 0,120.0
641,Kyrgyz Republic,Unnamed: 0,121.0
642,Lao,Unnamed: 0,122.0
643,Latvia,Unnamed: 0,123.0
644,Lebanon,Unnamed: 0,124.0
645,Lesotho,Unnamed: 0,125.0
646,Liberia,Unnamed: 0,126.0
647,Libya,Unnamed: 0,127.0
648,Liechtenstein,Unnamed: 0,128.0
649,Lithuania,Unnamed: 0,129.0
650,Luxembourg,Unnamed: 0,130.0
651,"Macao, China",Unnamed: 0,131.0
652,"Macedonia, FYR",Unnamed: 0,132.0
653,Madagascar,Unnamed: 0,133.0
